eighball.answer, "Да."
eighball.answer, "Нет."
eighball.answer, "Возможно."
eighball.answer, "Возможно нет."
eighball.answer, "Абсолютно."
eighball.answer, "Точно нет."
eighball.answer, "Заткнись."
eighball.answer, "Это тебе решать."
eighball.answer, "Не могу сказать."
eighball.answer, "Не рассчитывай на это."
eighball.answer, "Решительное да."
eighball.answer, "Я так не думаю."
eighball.answer, "Угу."
eighball.answer, "Ответ есть да."
eighball.answer, "Понятия не имею."
eighball.answer, "В самом деле так."
eighball.answer, "Ноль сомнений."
eighball.answer, "Только если это то, чего желаешь."
eighball.answer, "Сконцентрируйся и спроси еще раз."
eighball.answer, "Знаки указывают на да."
eighball.answer, "Конечно нет."
eighball.answer, "Да хрен его знает."
eighball.answer, "Это тайна."
eighball.answer, "Это точно."
eighball.answer, "Мой ответ нет."
eighball.noquestion, "Не пиши 8ball просто так, задай свой вопрос."
eighball.noquestion, "Нет вопроса - нет и ответа."
eighball.noquestion, "Вопрос содержит предложение или слово и вопросительный знак в конце. Напиши это и может быть ты получишь ответ."
eighball.noquestion, "Чувак, я не дам ответа, если ты не задашь мне вопрос, логично же?"
